"published_date","rating","type","helpful_votes","title","text"
"2024-03-20T05:33:14-04:00","1","review","1","Staff is king...Customer has zero value","After about 5 months I again tried Air India, to be honest, nothing has changed .
Scheduled time 11.55 pm , checked in by 10.35 and waited near the gate, boarding time displayed  11.30......Nothing happened until 11.45, when one of the passengers questioned, they changed the boarding time to 12.15 am on the display. Nothing happened at 12.15 and passengers started shouting at the crew, but as  it is a usual custom for them , they were cool, pretending to talk over phone, infants, kids and aged people were in trouble.  
Finally boarding started at 1.am, departed by 1.20. Late by 1 hour and 25 minutes.
Inside the flight, full of mosquitoes, when complained, a crew member came with a spray and started spraying in the air, the particles flew directly into the eyes and it started eye irritation and burning sensation  for many. Then came the explanation , its not harmful to the eyes, happy that they didn't say its best for eyes.
Then came the food and beverages at 2am, woke up everyone who were in deep sleep just to hear ""we don't want anything"" from majority of passengers. Surprisingly I noticed the service due date on the trolley...16-04-2022, its almost 2 years past service due..... God knows whether its pedal  lock and wheels works...
 Hmm the same story  continues....No improvement...nothing has changed....Hope they spend at least 25% of their advertisement budget for staff training"
"2024-03-18T17:05:40-04:00","1","review","1","The worst flying experience of 30+ years.","The worst airline. The worst customer service. Please reconsider ever flying with this corrupt, dishonest and shameful airline. The ground crew in India lied to us and let us board our connecting flight to Toronto even though they accidentally booked us to Vancouver. So, when we boarded the flight there were no seats available and our bags went to Vancouver. My wife, 8 year old, 4 year old and 18 month child were not allowed to leave the plane and were forced to sit in the air crew area with broken seats, no trays, no overhead lighting or working screens. The ground crew cut off all communication to the flight crew, scape goated us and hung us out to dry. My wife who is still nursing, dislocated two discs on this flight because she was holding our son without backing to the seat. It was the most unbelievable experience. At the end of the flight, they calmed us down by stating we would be compensated. After two months, we finally found out their total compensation cannot exceed $200 cad total. AND even that amount we had to fight tooth and nail to receive."
"2024-03-18T15:19:30-04:00","1","review","1","TATA IS A FRAUD","Worst service ever avoid at any cost worst service and beviour from the staff, will never ever in my life travel again in air india"
"2024-03-18T03:28:05-04:00","1","review","1","Air India Extra Luggage Policy by sector ( Highway robbery","This airline is a cheat and the people on the ground act like thugs . I've been flying international and domestic for 50  + years. And never had to deal with this.

I had extra baggage which I was willing to pay. But the as per airline rule if you fly two sectors . In my case Lucknow to Delhi and Delhi to Kochi  I had pay by sectors. Just to confirm it was part of a same ticket and PNR. My original extra baggage was around Rs 7500. Air India demanded Rs 16000. I threw away lot of my luggage and still ended up paying Rs 11000 by sectors"
"2024-03-17T22:01:09-04:00","1","review","1","Never travel by airindia","Luggage bag totally damaged. In aircraft screens were not working. Horrible service. I will never recommend airindia to anyone."
"2024-03-17T17:25:29-04:00","1","review","1","Never travel by Air India","Really terrible flights. Broken seats, dirty restrooms, greasy food. The arm rest and the tray of my seat was broken. The USB charger did not work. The screen did not work. Babies were sleeping on the floor due to lack of bassinets. The only redeeming feature was the staff. They tried their best."
"2024-03-17T10:29:43-04:00","1","review","1","Nonsense and clueless","Always the worst airlines. No respect for passangers and there time. You can never be sure that you are going to fly even if you board, deboard and reboard. Staff clueless and irresponsible. I have had pthatic experience with tbis airlines atlesat 5 times. Everytime I gave them another try because of the India in there name. But its enough now. Will never book even of its the last available flight in th world. Every one be ware before booking"
"2024-03-16T23:48:07-04:00","1","review","1","Terrible","First of all the screens on all my four flights back and forth from Copenhagen to Sydney and back a month later was not working, so if you want to go with air India on a long flight you should bring your own entertainment. Then when I landed in CPH they had broken my bag, the wheel had come off and I had the bag for a year only, I got 20 euros for that.. and my surfboard was snapped in half and they refused to repay anything and claimed it wasn’t their problem. So overall not a good experience and probably the worst long haul flight I’ve had. Staff was very nice though!"
"2024-03-16T12:38:28-04:00","2","review","1","DONT WASTE UPUR MONEY AND FLY AIR INDIA","Truly disappointed with the aircraft, must have been from the 80’s, seats uncomfortable, meal trays falling apart, service was very poor with stewardesses no idea how to service business class passengers, no idea of serving drinks, half my meals not even provided as the stewardess even forgot to bring my starters! Drinks weren’t even served till over 2hours later. Had to send my Bloody Mary back 3 times as the glass was filled to the rim with alcohol and tiny bit of tomato juice..Taste of food not great at all so better to take advantage of business lounges and stuff your face so not to have to eat on flight as though a nice menu is provided but sadly the taste of the food is very average. The aircrafts are randomly changed to the ancient aircraft’s by luring for a new aircraft. You will be lucky if you get the oldest Delta flights which are even 25 years old..truly a joke..Infact the service has got worse since its become private where even the staff were complaining that there is no training being provided to staff and they are being hired and thrown at the deep end.. Air India seems to have gone from bad to worse.."
"2024-03-16T03:47:29-04:00","1","review","1","Bad airline, Worst Staffs, no support or help when you miss your baggage or connecting flight because of Air India","Worst staffs appointed, I flew from SFO to BLR on March 12 and after reaching Bangalore, My baggage were missing, Ground staff told me that my bags would come within 24 hours, and there were 70 more passengers had same concern. Now its been more then 3 days and bags are still missing for all of us.
Air India Ground staff provided a contact number, which they never pick, I tried more then 100 times to reach but sometime they turn off, sometime they pick and keep the phone down. Its very frustrating staffs are really rude.
Please please avoid this airline if you want your vacation to be peaceful, else you will have to stay in hotel for many days waiting for your luggage to come. And by the time your bag will come its the time when your vacations ends"
"2024-03-15T21:22:03-04:00","1","review","1","Airindia cheating they're costumers. By over sale tickets","They are cheating on people they  are sale over tickets and when you coming they say sorry seats are not available  , when u ask to prove that as per policy they cant! My last trip  with this disgusting airlines. Never ever again i wish more people see my review."
"2024-03-15T21:18:49-04:00","1","review","1","WORST AIRLINES IN THE WORLD. IT SHOULD BE BANNED TO FLY IN THE SKY","Bought Ticket to fly from Delhi to Sydney 0n 15/03/2024. Bought 35 kg of weight but was not was not allowed to go with even 32 Kilogram. No one to listen. In the Dreamliner Aeroplane 80 percent TV system doesn,WORK. Wastage of money. Food below average, you can be sick. Seats two small for extra leg spaces. After paying $83 dollars extra. No won listen for a glass of woter. They charge $1800 for PP one way for this rubbish journey. Even one Air Hostage said these planes are outdated and should be put in bin.  Kuljeet"
"2024-03-15T08:43:04-04:00","1","review","1","Worst service and customer representatives","Terrible seats, electronics did not work ex: the mini TVs on the back of the seat. The luggage was broken, staff was emailed to let us connect with the manager they never responded to that email. Compensation still pending which was promised in Feb, 2024 as they replied too late to our emails for the flight of Jan 30, 2024. This is 15th March 2024. It's so worthless fighting with these guys, please save time money and energy and fly better with other airlines.
In 2024, there are so many amazing airlines out there, sad to say Air India is not one of them, would not recommend wasting money. They charge you the full amount and services are not provided half of it.
P.S. A senior citizen travelled on this flight. It is tough."
"2024-03-15T02:31:54-04:00","1","review","1","Worst service ever, 140 baggage missed from SFO and  they switched off helpline number.","Pathetic experience, Staffs has no sense of help, 2 Hours flight delay, on top of that baggage missed for 140 Passenger in BLR, no help to passenger who missed their connecting flight, neither they helped on baggages. Passenger had to take their own hotel and stay in Bangalore and wait for their baggages to come for several days.
They provided a contact number to query about your baggage, which they switched off. Also no reply on email. I would never travel again and wouldn't suggest anyone to travel either."
"2024-03-15T01:46:03-04:00","1","review","1","Air India’s staff repeatedly lied to us for months in advance about pet travel. No accountability, just a delayed flight","I arrived in Chicago a day early to go to the airport ahead of our flight and show Air India staff the dog kennel we had purchase after significant amount of online investigation, just as one final verification that it was of the size and built with the hardware that were compliant with airline policy. It was only then, standing in the air port, 7 months, hundreds if not thousands of dollars, and many hours of preparation later, that I was told that Air India does not fly pets from the US to India (our layover was in Delhi). Now at that point I struggled to do anything and everything in my power to assure the staff of the fact that our pets travel had indeed already been approved and that multiple email communications and phone calls with customer representatives verified this. Surely Air India could not believe that we would have bought a one way ticket to the other side of the world bringing our beloved pet without repeatedly checking the requirements and regulations, but regardless of what we had been told (we showed them our emails) they said there was no possibility our pet was flying with us. As alluded to by our one way ticket, we were not going on a short vacation, we were moving to Nepal, for at the very least one year, with no return flights booked. The only reason we were choosing to fly with Air India was that after research, we (prematurely) trusted them with our pet more than some of the other airlines which had daunting reviews about the welfare of passenger’s pets. However, had we known that Air India does not fly pets from the US on any direct flight to India (something every single customer service representative should have been aware of had they been properly trained) we would have found an alternative means of getting our pet to Nepal. However, with less than 24 hours notice that our pet was in fact not able to travel, we had no recourse but to leave them in the US (with family, thank God), and go without them, a decision that was emotionally devastating, on top of causing us a significant amount of wasted money on preparation. We were given no explanation, redress, recourse or compensation from Air India. I originally submitted this message directly to Air Indias complaint department a month ago, but upon receiving nothing more ameliorating than a “we regret the inconvenience” email, I have decided to publicly review this company, and I wish to say that I do not leave negative public reviews as I always prefer to allow management of businesses an opportunity to fix there mistakes after consultation in private, but this egregious error on behalf of Air India has not been rectified and I feel the pinki should be aware of the ramifications of flying your loved ones, human or animal, with a company such as this. For the record: The AI director at Chicago O’Hare was kind and attempted to work with Turkish Airlines to do a ticket exchange, but after hours of negotiating the viability of that plan, and much waiting while they were behind the ticket counters in their offices (it felt like being held up by a used car salesman), we were finally given an offer of “potentially” being able to fly with our dog the following day, abandoning our confirmed reservation with Air India in lieu of a flight on Turkish for the small price of $5300. Perhaps if we in fact possessed that much liquid cash we would have allowed ourselves to be robbed in this manner, with the hopes of traveling with our pet, but it wasn’t even a possibility for us. So we would be moving without our beloved pet. To add insult to injury, our flight was delayed by 12 hours, and our connecting flight (also by Air India) by an additional 2 hours. Again, no explanation, compensation, or apology for any of this. The email thread discussing the initial delay in Chicago also had every passengers email CCed rather than BCCed which was a significant privacy violation likely one that could be litigated based on the potential consequences: (it’s only due to better my angels that I won’t publish that list here as a form of protest against this negligent company). My parents had to purchase an additional night in the hotel they were staying at to take our dog and to see us off the following day, so now they too we’re wasting money to to Air India’s incompetence and lack of customer service professionalism. My wife and I are having our traditional Hindu wedding ceremony in Nepal in October, something we decided to wait to do in her home country rather than in the US, meaning upwards of 50 people will be flying from the US to Nepal. We will be making sure that not a single one of them flys on Air India, nor will we ever fly with Air India again, and all of her Nepali friends, family, and relatives in her life and on her social media now know that Air India is not a company to be trusted. Don’t wager your happiness on a bad airline, just pay a little more for the quality you deserve."
"2024-03-15T00:27:03-04:00","2","review","1","a lot of space to improve","First the positive: only 18 seats in Dreamliner Business Class. Generous amount of space. 2 pillows and soft blanket. 

The less positive aspects: 
The entertainment system is completely outdated and difficult to use. 

3 crew members for 18 passengers in Business Class (on our flight there were 14 passengers) - what a luxury, you might think. They make an effort, but the service is uncoordinated. Champagne Laurent Perrier - warm! Appetizer is ok - Fetta cheese with salad. Garlic bread cold and hard. No salt and pepper on the tray - no toothpick either. Main course - red snapper - really cold - not even lukewarm. The cold creamy fusilli was a portion of cold pasta in a cold sticky sauce. The dessert mousse was more like a rubbery marshmallow, the cheese was cheap quality, no crackers or bread. The Bordeaux red wine was very good. The cutlery is of the cheapest canteen pieces, the china ok. Everything is served on a gray plastic tray. 
The Amentiy Kit from Tumi are great. Also the Tumi Pyama, which is available in 3 sizes. Which is not really necessary for a day flight. After just under 2 hours, the second service was offered. We were glad that we could do without it. 
Less would be more - but better quality and a bit more style."
"2024-03-14T07:58:30-04:00","2","review","0","Poor service, especially for long-haul flights","I have travelled on Air India for many years right since my childhood while travelling between England and India - I recently travelled on 2nd February from London Heathrow to Kolkata via Mumbai and on 24th February 2024 from Kolkata back to Heathrow via Mumbai. However, I can say that the on board service, especially for long-haul international flights was quite poor (I usually fly through Economy) and really needs major improvements in future. 

The reasons for that are that they no longer provide in-flight monitor maps for longer fights (between 6-10 hours or more) - which is rather appalling for long distance flights as everyone has the right to know where exactly the plane is flying (really feels like a downgrade as there were usually in-flight maps years ago), the refreshment snacks could do with more choices (years ago they used to give peanuts which I liked but they now give some sort of corn snacks which wasn't too bad but more choices would be nice), the non-veg meals aren't always available and tend to run out more than the vegetarian meals (a few more meal choices would also be nicer for that), the film choices for films outside Hindi films was somewhat limited (I noticed when travelling towards Mumbai from Heathrow there were films like Oppenheimer & one of the recent Mission Impossible films but on my return journey back to Heathrow, they were no longer available), when the TV screens become faulty or crash (which seems more common now) the on-board crew don't seem to know how to fix them (whenever I've asked for the screens to be fixed or rebooted, the problem usually stays the same), and cleanliness in some areas needs some work. 

Another issue I have with Air India is that while the domestic flights are a bit better, there don't always seem to be as much updates when flight delays happen - my flight from Mumbai to Kolkata had a 3-hour delay but it took some time for the crew to update the passengers about the progress - which was supposedly down to poor visibility in Kolkata (might as well have deboarded the passengers back to the airport until the flight was ready to depart) while my return domestic flight to Mumbai got delayed and there was no update from the pilots or crew members about the reasons for that delay nor did they apologise for it which almost resulted in my & my family missing our connecting flight back to Heathrow (thankfully that flight waited for us and a few other delayed passengers).

Anyway, some positives are that most flights are usually on time and long delays are rare - that being said I'm not a frequent flyer, some of the crew members are quite polite & friendly (although there have been a few who were rude), the meals can be quite tasty when cooked/prepared well (although it can be a bit spicy/bland sometimes), the drink selection is good and it does have quite an extensive flight coverage inside India. However, the on-board service needs major improvements if they expect to be  world-class airline in the future - the Tata takeover initially made me hopeful for that although it is still taking them time to fix the issues I've mentioned (although I've read they're planning to refurbish some of the older fleet later this year which I hope does happen). I remember flying on Emirates when I was much younger and the service on Emirates was far superior than Air India even on Economy - more food/meal choices, in-flight maps on most flights, better selection of films, TV screens could be fixed during the flight if they became faulty and better cleanliness (if anyone from Air India reads this - take note). 

Unless Air India steps up their game in future - for which I could do an updated review, I would happily return to flying through Emirates in the future (or even try other airlines like Qatar Airways) if I am travelling alone - I usually fly through Air India when with my family as they for some reason prefer that in spite of its major flaws."
"2024-03-13T22:59:30-04:00","4","review","0","They are improving - im impressed","I travelled in 1st March London to Thiruvanthapuram via Mumbai . Also on 8th March Thiruvanthapuram to Delhi and then to Amristsar. Then return to Thiruvanthapuram on 10th and flew back to London via Mumbai on 12th . So multiple flights ( 8) in 12days , the air India staff were great , no issues very customer focused , food quality and taste excellent on board . Excellent leg room and seats comfortable . I noticed a few passengers had screens not working but they are in the process of upgrading all the planes this year.
The only issue  we had was during transfer from Mumbai to Thiruvanthapuram at Mumbai airport it was like a cattle market - complete lack of order and no queuing system , air India staff screeching at passengers waiting to check in their luggage again . That definitely needs improving !
Other than that all other Air India check in staff were very courteous and polite .
Amazing customer service and friendly Air India personnel at Thiruvanthapuram-exceptional!

Definitely will fly with Air India again."
"2024-03-13T21:27:29-04:00","1","review","0","Don't use them and be careful star alliance don't lump you on Air india.","Absolutely the worst airline ever. On the flight out I got downgraded from business class because so many seats were broken. Then in economy the screen was broken. Return trip was way worse. No in-flight entertainment, no reading light, no service button, service was appealing they take no ownership of their job. Terrible."
"2024-03-13T11:14:00-04:00","1","review","0","Worst experience","The worst flight , horrible is a small word . Worst experience of my life hate it . Never ever gonna recommend it to anyone its only money waste . Worst worst flight highly disappointed"
"2024-03-12T03:04:32-04:00","1","review","0","Worst service and worst staff","I have really bad experience with Air India. Staff seem to be manipulative and not helpful. Worst service. Not recommended at all"
"2024-03-11T20:03:14-04:00","5","review","0","Experience at Delhi Airport is very bad. Please take charge from Air Port authority.","Very good services inside the aircraft but not at the airport. Take charge at the air port from the air port authority at the  Delhi Airport. At Ahmedabad airport services not bad but to be improve slight bit. Airline not bad but airport services make the airline name bad. Services at Chicago is very best. We travel today on 3/11/2024. We want do something for India but I think services at the airport make their name bad. I am writing this review because I feel it. Hope AIR INDIA take the action very soon."
"2024-03-11T06:02:40-04:00","1","review","0","Never travel in Air India","I was so disappointed with my trip that I decided to write this review. First of all, broken seat which is then followed by video set not working for almost 80% of the people. I felt this is it but it was not unfortunately, I was served food with broken plastic spoon pieces in it. After all this I realized I paid $1600 for this trip while Emirates which is at least 100 times better was costing less. My request is it avoid this complacent Airline which rely on the fact that they are still getting so many customers in spite of such a bad service. Only way they can learn is when people start realizing value tor this money and don’t step on his Airline until they get the quality of the service."
"2024-03-11T01:47:10-04:00","2","review","0","No Entertainment","Went to India 23rd December 2023 till March 07 2024. It was a direct flight and both ways our tv weren't working so for an 8 1/2 hour flight both ways it's very annoying. So if you could sort the entertainment out it would be lovely."
"2024-03-10T20:28:20-04:00","1","review","1","Bad service bad staff","Too much bad service bad behaviour staff I can’t travel in future air India flight because today to much trouble face my family no anybody help ."
"2024-03-10T18:13:26-04:00","1","review","0","Worse traveling experience","I am ashamed to say air india is going down i demand an explanation why on 10/3/2024 flight Ai 619 from Mumbai to Hyderabad were the gates closed 1 hour before departure and the staff was the most unhelpful and rude and cloud not give any justification why they decided to close gates"
"2024-03-10T10:18:56-04:00","1","review","0","Bad experience","Very old flight food service very bad 

Charging point not work 

Screen not work 

Staff really bad 

Worst flight I ll never recommend to travel anyone

They delayed 6 hour as welll"
"2024-03-10T04:34:51-04:00","1","review","0","Avoid Air India - Worst Airline","Avoid Air India, worst airline and worst customer service. There are many other airlines at the same price. Would never use again. Delayed flight + Damaged Baggage. No response from Customer Service."
"2024-03-09T19:39:42-05:00","1","review","0","Russian roulette","It is a russian roulette on whether you will truly fly business. At least 4-6 chairs are not working on the flights in business class so the chances of being placed into economy is very high. Meal service is very limited and of poor quality. Would definitely not recommend if you need a proper rest during your business trip. However if you are looking for a thrill with high odds on getting a 75% reduction voucher on your flight this is your airline!"
"2024-03-09T04:18:03-05:00","1","review","0","Bad and worst food and service by cabin crew.","Hi good evening I was traveled today from Madurai to Doha at that time was first flight from Madurai to bombay I had bad experience with food and services, I totally fed up because of your service it’s totally worst. They asked me for food preference I told them that my preference is non veg until reached Mumbai nobody get back to me regarding this and I didn’t get my food as well I asked cabin crew regarding this but there is no proper response from them. At least they need to convey the message if non veg meal is not available what would you like to have there is no more excuse and no more sorry from them it’s not good for a customer who’s travelling with your aircraft I don’t blame her name who is asked to me please understand the customer needs we are not travelling with free of cost please get back to me with valuable response.
The founder and chairman of your aircraft very heartfelt person who served and helped to people always with the good thinks and he donates lot to the people at least follow his thoughts to be customers satisfaction."
